Fr[0][0] = 0.007813 ,Fi[0][0] = 0.007813
Fr[27][8] = 0.144531 ,Fi[27][8] = 0.144531
Fr[27][9] = 0.148438 ,Fi[27][9] = 0.148438
Fr[27][10] = 0.152344 ,Fi[27][10] = 0.152344
Fr[27][11] = 0.156250 ,Fi[27][11] = 0.156250
Fr[27][12] = 0.160156 ,Fi[27][12] = 0.160156
Fr[27][13] = 0.164063 ,Fi[27][13] = 0.164063
Fr[27][14] = 0.167969 ,Fi[27][14] = 0.167969
Fr[27][15] = 0.171875 ,Fi[27][15] = 0.171875
Fr[27][16] = 0.175781 ,Fi[27][16] = 0.175781
Fr[27][17] = 0.179688 ,Fi[27][17] = 0.179688
Fr[27][18] = 0.183594 ,Fi[27][18] = 0.183594
Fr[27][19] = 0.187500 ,Fi[27][19] = 0.187500
Fr[27][20] = 0.191406 ,Fi[27][20] = 0.191406
Fr[27][21] = 0.195313 ,Fi[27][21] = 0.195313
Fr[27][22] = 0.199219 ,Fi[27][22] = 0.199219
Fr[27][23] = 0.203125 ,Fi[27][23] = 0.203125
Fr[27][24] = 0.207031 ,Fi[27][24] = 0.207031
Fr[27][25] = 0.210938 ,Fi[27][25] = 0.210938
Fr[27][26] = 0.214844 ,Fi[27][26] = 0.214844
Fr[27][27] = 0.218750 ,Fi[27][27] = 0.218750
Fr[27][28] = 0.222656 ,Fi[27][28] = 0.222656
Fr[27][29] = 0.226563 ,Fi[27][29] = 0.226563
Fr[27][30] = 0.230469 ,Fi[27][30] = 0.230469
Fr[27][31] = 0.234375 ,Fi[27][31] = 0.234375
Fr[28][0] = 0.117188 ,Fi[28][0] = 0.117188
Fr[28][1] = 0.121094 ,Fi[28][1] = 0.121094
Fr[28][2] = 0.125000 ,Fi[28][2] = 0.125000
Fr[28][3] = 0.128906 ,Fi[28][3] = 0.128906
Fr[28][4] = 0.132813 ,Fi[28][4] = 0.132813
Fr[28][5] = 0.136719 ,Fi[28][5] = 0.136719
Fr[28][6] = 0.140625 ,Fi[28][6] = 0.140625
Fr[28][7] = 0.144531 ,Fi[28][7] = 0.144531
Fr[28][8] = 0.148438 ,Fi[28][8] = 0.148438
Fr[28][9] = 0.152344 ,Fi[28][9] = 0.152344
Fr[28][10] = 0.156250 ,Fi[28][10] = 0.156250
Fr[28][11] = 0.160156 ,Fi[28][11] = 0.160156
Fr[28][12] = 0.164063 ,Fi[28][12] = 0.164063
Fr[28][13] = 0.167969 ,Fi[28][13] = 0.167969
Fr[28][14] = 0.171875 ,Fi[28][14] = 0.171875
Fr[28][15] = 0.175781 ,Fi[28][15] = 0.175781
Fr[28][16] = 0.179688 ,Fi[28][16] = 0.179688
Fr[28][17] = 0.183594 ,Fi[28][17] = 0.183594
Fr[28][18] = 0.187500 ,Fi[28][18] = 0.187500
Fr[28][19] = 0.191406 ,Fi[28][19] = 0.191406
Fr[28][20] = 0.195313 ,Fi[28][20] = 0.195313
Fr[28][21] = 0.199219 ,Fi[28][21] = 0.199219
Fr[28][22] = 0.203125 ,Fi[28][22] = 0.203125
Fr[28][23] = 0.207031 ,Fi[28][23] = 0.207031
Fr[28][24] = 0.210938 ,Fi[28][24] = 0.210938
Fr[28][25] = 0.214844 ,Fi[28][25] = 0.214844
Fr[28][26] = 0.218750 ,Fi[28][26] = 0.218750
Fr[28][27] = 0.222656 ,Fi[28][27] = 0.222656
Fr[28][28] = 0.226563 ,Fi[28][28] = 0.226563
Fr[28][29] = 0.230469 ,Fi[28][29] = 0.230469
Fr[28][30] = 0.234375 ,Fi[28][30] = 0.234375
Fr[28][31] = 0.238281 ,Fi[28][31] = 0.238281
Fr[29][0] = 0.121094 ,Fi[29][0] = 0.121094
Fr[29][1] = 0.125000 ,Fi[29][1] = 0.125000
Fr[29][2] = 0.128906 ,Fi[29][2] = 0.128906
Fr[29][3] = 0.132813 ,Fi[29][3] = 0.132813
Fr[29][4] = 0.136719 ,Fi[29][4] = 0.136719
Fr[29][5] = 0.140625 ,Fi[29][5] = 0.140625
Fr[29][6] = 0.144531 ,Fi[29][6] = 0.144531
Fr[29][7] = 0.148438 ,Fi[29][7] = 0.148438
Fr[29][8] = 0.152344 ,Fi[29][8] = 0.152344
Fr[29][9] = 0.156250 ,Fi[29][9] = 0.156250
Fr[29][10] = 0.160156 ,Fi[29][10] = 0.160156
Fr[29][11] = 0.164063 ,Fi[29][11] = 0.164063
Fr[29][12] = 0.167969 ,Fi[29][12] = 0.167969
Fr[29][13] = 0.171875 ,Fi[29][13] = 0.171875
Fr[29][14] = 0.175781 ,Fi[29][14] = 0.175781
Fr[29][15] = 0.179688 ,Fi[29][15] = 0.179688
Fr[29][16] = 0.183594 ,Fi[29][16] = 0.183594
Fr[29][17] = 0.187500 ,Fi[29][17] = 0.187500
Fr[29][18] = 0.191406 ,Fi[29][18] = 0.191406
Fr[29][19] = 0.195313 ,Fi[29][19] = 0.195313
Fr[29][20] = 0.199219 ,Fi[29][20] = 0.199219
Fr[29][21] = 0.203125 ,Fi[29][21] = 0.203125
Fr[29][22] = 0.207031 ,Fi[29][22] = 0.207031
Fr[29][23] = 0.210938 ,Fi[29][23] = 0.210938
Fr[29][24] = 0.214844 ,Fi[29][24] = 0.214844
Fr[29][25] = 0.218750 ,Fi[29][25] = 0.218750
Fr[29][26] = 0.222656 ,Fi[29][26] = 0.222656
Fr[29][27] = 0.226563 ,Fi[29][27] = 0.226563
Fr[29][28] = 0.230469 ,Fi[29][28] = 0.230469
Fr[29][29] = 0.234375 ,Fi[29][29] = 0.234375
Fr[29][30] = 0.238281 ,Fi[29][30] = 0.238281
Fr[29][31] = 0.242188 ,Fi[29][31] = 0.242188
Fr[30][0] = 0.125000 ,Fi[30][0] = 0.125000
Fr[30][1] = 0.128906 ,Fi[30][1] = 0.128906
Fr[30][2] = 0.132813 ,Fi[30][2] = 0.132813
Fr[30][3] = 0.136719 ,Fi[30][3] = 0.136719
Fr[30][4] = 0.140625 ,Fi[30][4] = 0.140625
Fr[30][5] = 0.144531 ,Fi[30][5] = 0.144531
Fr[30][6] = 0.148438 ,Fi[30][6] = 0.148438
Fr[30][7] = 0.152344 ,Fi[30][7] = 0.152344
Fr[30][8] = 0.156250 ,Fi[30][8] = 0.156250
Fr[30][9] = 0.160156 ,Fi[30][9] = 0.160156
Fr[30][10] = 0.164063 ,Fi[30][10] = 0.164063
Fr[30][11] = 0.167969 ,Fi[30][11] = 0.167969
Fr[30][12] = 0.171875 ,Fi[30][12] = 0.171875
Fr[30][13] = 0.175781 ,Fi[30][13] = 0.175781
Fr[30][14] = 0.179688 ,Fi[30][14] = 0.179688
Fr[30][15] = 0.183594 ,Fi[30][15] = 0.183594
Fr[30][16] = 0.187500 ,Fi[30][16] = 0.187500
Fr[30][17] = 0.191406 ,Fi[30][17] = 0.191406
Fr[30][18] = 0.195313 ,Fi[30][18] = 0.195313
Fr[30][19] = 0.199219 ,Fi[30][19] = 0.199219
Fr[30][20] = 0.203125 ,Fi[30][20] = 0.203125
Fr[30][21] = 0.207031 ,Fi[30][21] = 0.207031
Fr[30][22] = 0.210938 ,Fi[30][22] = 0.210938
Fr[30][23] = 0.214844 ,Fi[30][23] = 0.214844
Fr[30][24] = 0.218750 ,Fi[30][24] = 0.218750
Fr[30][25] = 0.222656 ,Fi[30][25] = 0.222656
Fr[30][26] = 0.226563 ,Fi[30][26] = 0.226563
Fr[30][27] = 0.230469 ,Fi[30][27] = 0.230469
Fr[30][28] = 0.234375 ,Fi[30][28] = 0.234375
Fr[30][29] = 0.238281 ,Fi[30][29] = 0.238281
Fr[30][30] = 0.242188 ,Fi[30][30] = 0.242188
Fr[30][31] = 0.246094 ,Fi[30][31] = 0.246094
Fr[31][0] = 0.128906 ,Fi[31][0] = 0.128906
Fr[31][1] = 0.132813 ,Fi[31][1] = 0.132813
Fr[31][2] = 0.136719 ,Fi[31][2] = 0.136719
Fr[31][3] = 0.140625 ,Fi[31][3] = 0.140625
Fr[31][4] = 0.144531 ,Fi[31][4] = 0.144531
Fr[31][5] = 0.148438 ,Fi[31][5] = 0.148438
Fr[31][6] = 0.152344 ,Fi[31][6] = 0.152344
Fr[31][7] = 0.156250 ,Fi[31][7] = 0.156250
Fr[31][8] = 0.160156 ,Fi[31][8] = 0.160156
Fr[31][9] = 0.164063 ,Fi[31][9] = 0.164063
Fr[31][10] = 0.167969 ,Fi[31][10] = 0.167969
Fr[31][11] = 0.171875 ,Fi[31][11] = 0.171875
Fr[31][12] = 0.175781 ,Fi[31][12] = 0.175781
Fr[31][13] = 0.179688 ,Fi[31][13] = 0.179688
Fr[31][14] = 0.183594 ,Fi[31][14] = 0.183594
Fr[31][15] = 0.187500 ,Fi[31][15] = 0.187500
Fr[31][16] = 0.191406 ,Fi[31][16] = 0.191406
Fr[31][17] = 0.195313 ,Fi[31][17] = 0.195313
Fr[31][18] = 0.199219 ,Fi[31][18] = 0.199219
Fr[31][19] = 0.203125 ,Fi[31][19] = 0.203125
Fr[31][20] = 0.207031 ,Fi[31][20] = 0.207031
Fr[31][21] = 0.210938 ,Fi[31][21] = 0.210938
Fr[31][22] = 0.214844 ,Fi[31][22] = 0.214844
Fr[31][23] = 0.218750 ,Fi[31][23] = 0.218750
Fr[31][24] = 0.222656 ,Fi[31][24] = 0.222656
Fr[31][25] = 0.226563 ,Fi[31][25] = 0.226563
Fr[31][26] = 0.230469 ,Fi[31][26] = 0.230469
Fr[31][27] = 0.234375 ,Fi[31][27] = 0.234375
Fr[31][28] = 0.238281 ,Fi[31][28] = 0.238281
Fr[31][29] = 0.242188 ,Fi[31][29] = 0.242188
Fr[31][30] = 0.246094 ,Fi[31][30] = 0.246094
Fr[31][31] = 0.250000 ,Fi[31][31] = 0.250000

Fr[0][0] = 132.000000 ,Fi[0][0] = 132.000000
Fr[0][1] = -1.394146 ,Fi[0][1] = 1.144146
Fr[0][2] = -3.013670 ,Fi[0][2] = 2.013670
Fr[0][3] = -0.537070 ,Fi[0][3] = 0.287070
Fr[0][4] = -6.828427 ,Fi[0][4] = 2.828427
Fr[0][5] = -0.358859 ,Fi[0][5] = 0.108859
Fr[0][6] = -1.248303 ,Fi[0][6] = 0.248303
Fr[0][7] = -0.277313 ,Fi[0][7] = 0.027313
Fr[0][8] = -16.000000 ,Fi[0][8] = -0.000000
Fr[0][9] = -0.227585 ,Fi[0][9] = -0.022415
Fr[0][10] = -0.834089 ,Fi[0][10] = -0.165911
Fr[0][11] = -0.191814 ,Fi[0][11] = -0.058186
Fr[0][12] = -2.828427 ,Fi[0][12] = -1.171573
Fr[0][13] = -0.162918 ,Fi[0][13] = -0.087082
Fr[0][14] = -0.599456 ,Fi[0][14] = -0.400544
Fr[0][15] = -0.137311 ,Fi[0][15] = -0.112689
Fr[0][16] = -32.000000 ,Fi[0][16] = -32.000000
Fr[0][17] = -0.112689 ,Fi[0][17] = -0.137311
Fr[0][18] = -0.400544 ,Fi[0][18] = -0.599456
Fr[0][19] = -0.087082 ,Fi[0][19] = -0.162918
Fr[0][20] = -1.171573 ,Fi[0][20] = -2.828427
Fr[0][21] = -0.058186 ,Fi[0][21] = -0.191814
Fr[0][22] = -0.165911 ,Fi[0][22] = -0.834089
Fr[0][23] = -0.022415 ,Fi[0][23] = -0.227585
Fr[0][24] = 0.000000 ,Fi[0][24] = -16.000000
Fr[0][25] = 0.027313 ,Fi[0][25] = -0.277313
Fr[0][26] = 0.248303 ,Fi[0][26] = -1.248303
Fr[0][27] = 0.108859 ,Fi[0][27] = -0.358859
Fr[0][28] = 2.828427 ,Fi[0][28] = -6.828427
Fr[0][29] = 0.287070 ,Fi[0][29] = -0.537070
Fr[0][30] = 2.013670 ,Fi[0][30] = -3.013670
Fr[0][31] = 1.144146 ,Fi[0][31] = -1.394146
Fr[1][0] = -1.394146 ,Fi[1][0] = 1.144146
Fr[1][1] = 0.000000 ,Fi[1][1] = 0.000000
Fr[1][2] = 0.000000 ,Fi[1][2] = 0.000000
Fr[1][3] = 0.000000 ,Fi[1][3] = 0.000000
Fr[1][4] = 0.000000 ,Fi[1][4] = 0.000000
Fr[1][5] = 0.000000 ,Fi[1][5] = 0.000000
Fr[1][6] = 0.000000 ,Fi[1][6] = 0.000000
Fr[1][7] = 0.000000 ,Fi[1][7] = 0.000000
Fr[1][8] = 0.000000 ,Fi[1][8] = 0.000000
Fr[1][9] = 0.000000 ,Fi[1][9] = 0.000000
Fr[1][10] = 0.000000 ,Fi[1][10] = 0.000000
Fr[1][11] = 0.000000 ,Fi[1][11] = 0.000000
Fr[1][12] = 0.000000 ,Fi[1][12] = 0.000000
Fr[1][13] = 0.000000 ,Fi[1][13] = 0.000000
Fr[1][14] = 0.000000 ,Fi[1][14] = 0.000000
Fr[1][15] = 0.000000 ,Fi[1][15] = 0.000000
Fr[1][16] = 0.000000 ,Fi[1][16] = 0.000000
Fr[1][17] = 0.000000 ,Fi[1][17] = 0.000000
Fr[1][18] = 0.000000 ,Fi[1][18] = 0.000000
Fr[1][19] = 0.000000 ,Fi[1][19] = 0.000000
Fr[1][20] = 0.000000 ,Fi[1][20] = 0.000000
Fr[1][21] = 0.000000 ,Fi[1][21] = 0.000000
Fr[1][22] = 0.000000 ,Fi[1][22] = 0.000000
Fr[1][23] = 0.000000 ,Fi[1][23] = 0.000000
Fr[1][24] = 0.000000 ,Fi[1][24] = 0.000000
Fr[1][25] = 0.000000 ,Fi[1][25] = 0.000000
Fr[1][26] = 0.000000 ,Fi[1][26] = 0.000000
Fr[1][27] = 0.000000 ,Fi[1][27] = 0.000000
Fr[1][28] = 0.000000 ,Fi[1][28] = 0.000000
Fr[1][29] = 0.000000 ,Fi[1][29] = 0.000000
Fr[1][30] = 0.000000 ,Fi[1][30] = 0.000000
Fr[1][31] = 0.000000 ,Fi[1][31] = 0.000000
Fr[2][0] = -3.013670 ,Fi[2][0] = 2.013670
Fr[2][1] = 0.000000 ,Fi[2][1] = 0.000000
Fr[2][2] = 0.000000 ,Fi[2][2] = 0.000000
Fr[2][3] = 0.000000 ,Fi[2][3] = 0.000000
Fr[2][4] = 0.000000 ,Fi[2][4] = 0.000000
Fr[2][5] = 0.000000 ,Fi[2][5] = 0.000000
Fr[2][6] = 0.000000 ,Fi[2][6] = 0.000000
Fr[2][7] = 0.000000 ,Fi[2][7] = 0.000000
Fr[2][8] = 0.000000 ,Fi[2][8] = 0.000000
Fr[2][9] = 0.000000 ,Fi[2][9] = 0.000000
Fr[2][10] = 0.000000 ,Fi[2][10] = 0.000000
Fr[2][11] = 0.000000 ,Fi[2][11] = 0.000000
Fr[2][12] = 0.000000 ,Fi[2][12] = 0.000000
Fr[2][13] = 0.000000 ,Fi[2][13] = 0.000000
Fr[2][14] = 0.000000 ,Fi[2][14] = 0.000000
Fr[2][15] = 0.000000 ,Fi[2][15] = 0.000000
Fr[2][16] = 0.000000 ,Fi[2][16] = 0.000000
Fr[2][17] = 0.000000 ,Fi[2][17] = 0.000000
Fr[2][18] = 0.000000 ,Fi[2][18] = 0.000000
Fr[2][19] = 0.000000 ,Fi[2][19] = 0.000000
Fr[2][20] = 0.000000 ,Fi[2][20] = 0.000000
Fr[2][21] = 0.000000 ,Fi[2][21] = 0.000000
Fr[2][22] = 0.000000 ,Fi[2][22] = 0.000000
Fr[2][23] = 0.000000 ,Fi[2][23] = 0.000000
Fr[2][24] = 0.000000 ,Fi[2][24] = 0.000000
Fr[2][25] = 0.000000 ,Fi[2][25] = 0.000000
Fr[2][26] = 0.000000 ,Fi[2][26] = 0.000000
Fr[2][27] = 0.000000 ,Fi[2][27] = 0.000000
Fr[2][28] = 0.000000 ,Fi[2][28] = 0.000000
Fr[2][29] = 0.000000 ,Fi[2][29] = 0.000000
Fr[2][30] = 0.000000 ,Fi[2][30] = 0.000000
Fr[2][31] = 0.000000 ,Fi[2][31] = 0.000000
Fr[3][0] = -0.537070 ,Fi[3][0] = 0.287070
Fr[3][1] = 0.000000 ,Fi[3][1] = 0.000000
Fr[3][2] = 0.000000 ,Fi[3][2] = 0.000000
Fr[3][3] = 0.000000 ,Fi[3][3] = 0.000000
Fr[3][4] = 0.000000 ,Fi[3][4] = 0.000000
Fr[3][5] = 0.000000 ,Fi[3][5] = 0.000000
Fr[3][6] = 0.000000 ,Fi[3][6] = 0.000000
Fr[3][7] = 0.000000 ,Fi[3][7] = 0.000000
Fr[3][8] = 0.000000 ,Fi[3][8] = 0.000000
Fr[3][9] = 0.000000 ,Fi[3][9] = 0.000000
Fr[3][10] = 0.000000 ,Fi[3][10] = 0.000000
Fr[3][11] = 0.000000 ,Fi[3][11] = 0.000000
Fr[3][12] = 0.000000 ,Fi[3][12] = 0.000000
Fr[3][13] = 0.000000 ,Fi[3][13] = 0.000000
Fr[3][14] = 0.000000 ,Fi[3][14] = 0.000000
Fr[3][15] = 0.000000 ,Fi[3][15] = 0.000000
Fr[3][16] = 0.000000 ,Fi[3][16] = 0.000000
Fr[3][17] = 0.000000 ,Fi[3][17] = 0.000000
Fr[3][18] = 0.000000 ,Fi[3][18] = 0.000000
Fr[3][19] = 0.000000 ,Fi[3][19] = 0.000000
Fr[3][20] = 0.000000 ,Fi[3][20] = 0.000000
Fr[3][21] = 0.000000 ,Fi[3][21] = 0.000000
Fr[3][22] = 0.000000 ,Fi[3][22] = 0.000000
Fr[3][23] = 0.000000 ,Fi[3][23] = 0.000000
Fr[3][24] = 0.000000 ,Fi[3][24] = 0.000000
Fr[3][25] = 0.000000 ,Fi[3][25] = 0.000000
Fr[3][26] = 0.000000 ,Fi[3][26] = 0.000000
Fr[3][27] = 0.000000 ,Fi[3][27] = 0.000000
Fr[3][28] = 0.000000 ,Fi[3][28] = 0.000000
Fr[3][29] = 0.000000 ,Fi[3][29] = 0.000000
Fr[3][30] = 0.000000 ,Fi[3][30] = 0.000000
Fr[3][31] = 0.000000 ,Fi[3][31] = 0.000000
Fr[4][0] = -6.828427 ,Fi[4][0] = 2.828427
Fr[4][1] = 0.000000 ,Fi[4][1] = 0.000000
Fr[4][2] = 0.000000 ,Fi[4][2] = 0.000000
Fr[4][3] = 0.000000 ,Fi[4][3] = 0.000000
Fr[4][4] = 0.000000 ,Fi[4][4] = 0.000000
Fr[4][5] = 0.000000 ,Fi[4][5] = 0.000000
Fr[4][6] = 0.000000 ,Fi[4][6] = 0.000000
Fr[4][7] = 0.000000 ,Fi[4][7] = 0.000000
Fr[4][8] = 0.000000 ,Fi[4][8] = 0.000000
Fr[4][9] = 0.000000 ,Fi[4][9] = 0.000000
Fr[4][10] = 0.000000 ,Fi[4][10] = 0.000000
Fr[4][11] = 0.000000 ,Fi[4][11] = 0.000000
Fr[4][12] = 0.000000 ,Fi[4][12] = 0.000000
Fr[4][13] = 0.000000 ,Fi[4][13] = 0.000000
Fr[4][14] = 0.000000 ,Fi[4][14] = 0.000000
Fr[4][15] = 0.000000 ,Fi[4][15] = 0.000000
Fr[4][16] = 0.000000 ,Fi[4][16] = 0.000000
Fr[4][17] = 0.000000 ,Fi[4][17] = 0.000000
Fr[4][18] = 0.000000 ,Fi[4][18] = 0.000000
Fr[4][19] = 0.000000 ,Fi[4][19] = 0.000000
Fr[4][20] = 0.000000 ,Fi[4][20] = 0.000000
Fr[4][21] = 0.000000 ,Fi[4][21] = 0.000000
Fr[4][22] = 0.000000 ,Fi[4][22] = 0.000000
Fr[4][23] = 0.000000 ,Fi[4][23] = 0.000000
Fr[4][24] = 0.000000 ,Fi[4][24] = 0.000000
Fr[4][25] = 0.000000 ,Fi[4][25] = 0.000000
Fr[4][26] = 0.000000 ,Fi[4][26] = 0.000000
Fr[4][27] = 0.000000 ,Fi[4][27] = 0.000000
Fr[4][28] = 0.000000 ,Fi[4][28] = 0.000000
Fr[4][29] = 0.000000 ,Fi[4][29] = 0.000000
Fr[4][30] = 0.000000 ,Fi[4][30] = 0.000000
Fr[4][31] = 0.000000 ,Fi[4][31] = 0.000000
Fr[5][0] = -0.358859 ,Fi[5][0] = 0.108859
Fr[5][1] = 0.000000 ,Fi[5][1] = 0.000000
Fr[5][2] = 0.000000 ,Fi[5][2] = 0.000000
Fr[5][3] = 0.000000 ,Fi[5][3] = 0.000000
Fr[5][4] = 0.000000 ,Fi[5][4] = 0.000000
Fr[5][5] = 0.000000 ,Fi[5][5] = 0.000000
Fr[5][6] = 0.000000 ,Fi[5][6] = 0.000000
Fr[5][7] = 0.000000 ,Fi[5][7] = 0.000000
Fr[5][8] = 0.000000 ,Fi[5][8] = 0.000000
Fr[5][9] = 0.000000 ,Fi[5][9] = 0.000000
Fr[5][10] = 0.000000 ,Fi[5][10] = 0.000000
Fr[5][11] = 0.000000 ,Fi[5][11] = 0.000000
Fr[5][12] = 0.000000 ,Fi[5][12] = 0.000000
Fr[5][13] = 0.000000 ,Fi[5][13] = 0.000000
Fr[5][14] = 0.000000 ,Fi[5][14] = 0.000000
Fr[5][15] = 0.000000 ,Fi[5][15] = 0.000000
Fr[5][16] = 0.000000 ,Fi[5][16] = 0.000000
Fr[5][17] = 0.000000 ,Fi[5][17] = 0.000000
Fr[5][18] = 0.000000 ,Fi[5][18] = 0.000000
Fr[5][19] = 0.000000 ,Fi[5][19] = 0.000000
Fr[5][20] = 0.000000 ,Fi[5][20] = 0.000000
Fr[5][21] = 0.000000 ,Fi[5][21] = 0.000000
Fr[5][22] = 0.000000 ,Fi[5][22] = 0.000000
Fr[5][23] = 0.000000 ,Fi[5][23] = 0.000000
Fr[5][24] = 0.000000 ,Fi[5][24] = 0.000000
Fr[5][25] = 0.000000 ,Fi[5][25] = 0.000000
Fr[5][26] = 0.000000 ,Fi[5][26] = 0.000000
Fr[5][27] = 0.000000 ,Fi[5][27] = 0.000000
Fr[5][28] = 0.000000 ,Fi[5][28] = 0.000000
Fr[5][29] = 0.000000 ,Fi[5][29] = 0.000000
Fr[5][30] = 0.000000 ,Fi[5][30] = 0.000000
Fr[5][31] = 0.000000 ,Fi[5][31] = 0.000000
Fr[6][0] = -1.248303 ,Fi[6][0] = 0.248303
Fr[6][1] = 0.000000 ,Fi[6][1] = 0.000000
Fr[6][2] = 0.000000 ,Fi[6][2] = 0.000000
Fr[6][3] = 0.000000 ,Fi[6][3] = 0.000000
Fr[6][4] = 0.000000 ,Fi[6][4] = 0.000000
Fr[6][5] = 0.000000 ,Fi[6][5] = 0.000000
Fr[6][6] = 0.000000 ,Fi[6][6] = 0.000000
Fr[6][7] = 0.000000 ,Fi[6][7] = 0.000000
Fr[6][8] = 0.000000 ,Fi[6][8] = 0.000000
Fr[6][9] = 0.000000 ,Fi[6][9] = 0.000000
Fr[6][10] = 0.000000 ,Fi[6][10] = 0.000000
Fr[6][11] = 0.000000 ,Fi[6][11] = 0.000000
Fr[6][12] = 0.000000 ,Fi[6][12] = 0.000000
Fr[6][13] = 0.000000 ,Fi[6][13] = 0.000000
Fr[6][14] = 0.000000 ,Fi[6][14] = 0.000000
Fr[6][15] = 0.000000 ,Fi[6][15] = 0.000000
Fr[6][16] = 0.000000 ,Fi[6][16] = 0.000000
Fr[6][17] = 0.000000 ,Fi[6][17] = 0.000000
Fr[6][18] = 0.000000 ,Fi[6][18] = 0.000000
Fr[6][19] = 0.000000 ,Fi[6][19] = 0.000000
Fr[6][20] = 0.000000 ,Fi[6][20] = 0.000000
Fr[6][21] = 0.000000 ,Fi[6][21] = 0.000000
Fr[6][22] = 0.000000 ,Fi[6][22] = 0.000000
Fr[6][23] = 0.000000 ,Fi[6][23] = 0.000000
Fr[6][24] = 0.000000 ,Fi[6][24] = 0.000000
Fr[6][25] = 0.000000 ,Fi[6][25] = 0.000000
Fr[6][26] = 0.000000 ,Fi[6][26] = 0.000000
Fr[6][27] = 0.000000 ,Fi[6][27] = 0.000000
Fr[6][28] = 0.000000 ,Fi[6][28] = 0.000000
Fr[6][29] = 0.000000 ,Fi[6][29] = 0.000000
Fr[6][30] = 0.000000 ,Fi[6][30] = 0.000000
Fr[6][31] = 0.000000 ,Fi[6][31] = 0.000000
Fr[7][0] = -0.277313 ,Fi[7][0] = 0.027313
Fr[7][1] = 0.000000 ,Fi[7][1] = 0.000000
Fr[7][2] = 0.000000 ,Fi[7][2] = 0.000000
Fr[7][3] = 0.000000 ,Fi[7][3] = 0.000000
Fr[7][4] = 0.000000 ,Fi[7][4] = 0.000000
Fr[7][5] = 0.000000 ,Fi[7][5] = 0.000000
Fr[7][6] = 0.000000 ,Fi[7][6] = 0.000000
Fr[7][7] = 0.000000 ,Fi[7][7] = 0.000000
Fr[7][8] = 0.000000 ,Fi[7][8] = 0.000000
Fr[7][9] = 0.000000 ,Fi[7][9] = 0.000000
Fr[7][10] = 0.000000 ,Fi[7][10] = 0.000000
Fr[7][11] = 0.000000 ,Fi[7][11] = 0.000000
Fr[7][12] = 0.000000 ,Fi[7][12] = 0.000000
Fr[7][13] = 0.000000 ,Fi[7][13] = 0.000000
Fr[7][14] = 0.000000 ,Fi[7][14] = 0.000000
Fr[7][15] = 0.000000 ,Fi[7][15] = 0.000000
Fr[7][16] = 0.000000 ,Fi[7][16] = 0.000000
Fr[7][17] = 0.000000 ,Fi[7][17] = 0.000000
Fr[7][18] = 0.000000 ,Fi[7][18] = 0.000000
Fr[7][19] = 0.000000 ,Fi[7][19] = 0.000000
Fr[7][20] = 0.000000 ,Fi[7][20] = 0.000000
Fr[7][21] = 0.000000 ,Fi[7][21] = 0.000000
Fr[7][22] = 0.000000 ,Fi[7][22] = 0.000000
Fr[7][23] = 0.000000 ,Fi[7][23] = 0.000000
Fr[7][24] = 0.000000 ,Fi[7][24] = 0.000000
Fr[7][25] = 0.000000 ,Fi[7][25] = 0.000000
Fr[7][26] = 0.000000 ,Fi[7][26] = 0.000000
Fr[7][27] = 0.000000 ,Fi[7][27] = 0.000000
Fr[7][28] = 0.000000 ,Fi[7][28] = 0.000000
Fr[7][29] = 0.000000 ,Fi[7][29] = 0.000000
Fr[7][30] = 0.000000 ,Fi[7][30] = 0.000000
Fr[7][31] = 0.000000 ,Fi[7][31] = 0.000000
Fr[8][0] = -16.000000 ,Fi[8][0] = -0.000000
Fr[8][1] = 0.000000 ,Fi[8][1] = 0.000000
Fr[8][2] = 0.000000 ,Fi[8][2] = 0.000000
Fr[8][3] = 0.000000 ,Fi[8][3] = 0.000000
Fr[8][4] = 0.000000 ,Fi[8][4] = 0.000000
Fr[8][5] = 0.000000 ,Fi[8][5] = 0.000000
Fr[8][6] = 0.000000 ,Fi[8][6] = 0.000000
Fr[8][7] = 0.000000 ,Fi[8][7] = 0.000000
Fr[8][8] = 0.000000 ,Fi[8][8] = 0.000000
Fr[8][9] = 0.000000 ,Fi[8][9] = 0.000000
Fr[8][10] = 0.000000 ,Fi[8][10] = 0.000000
Fr[8][11] = 0.000000 ,Fi[8][11] = 0.000000
Fr[8][12] = 0.000000 ,Fi[8][12] = 0.000000
Fr[8][13] = 0.000000 ,Fi[8][13] = 0.000000
Fr[8][14] = 0.000000 ,Fi[8][14] = 0.000000
Fr[8][15] = 0.000000 ,Fi[8][15] = 0.000000
Fr[8][16] = 0.000000 ,Fi[8][16] = 0.000000
Fr[8][17] = 0.000000 ,Fi[8][17] = 0.000000
Fr[8][18] = 0.000000 ,Fi[8][18] = 0.000000
Fr[8][19] = 0.000000 ,Fi[8][19] = 0.000000
Fr[8][20] = 0.000000 ,Fi[8][20] = 0.000000
Fr[8][21] = 0.000000 ,Fi[8][21] = 0.000000
Fr[8][22] = 0.000000 ,Fi[8][22] = 0.000000
Fr[8][23] = 0.000000 ,Fi[8][23] = 0.000000
Fr[8][24] = 0.000000 ,Fi[8][24] = 0.000000
Fr[8][25] = 0.000000 ,Fi[8][25] = 0.000000
Fr[8][26] = 0.000000 ,Fi[8][26] = 0.000000
Fr[8][27] = 0.000000 ,Fi[8][27] = 0.000000
